City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,70.29,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
5,Nieuw Amsterdam,SR,76.01,scattered clouds,5.8833,-55.0833,Leonsberg Lodge
10,Vaini,TO,73.56,moderate rain,-21.2,-175.2,Keleti International Resort
11,Rikitea,PF,77.74,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
13,Kapaa,US,75.52,light rain,22.0752,-159.319,Pono Kai Resort
14,Georgetown,MY,89.55,thunderstorm,5.4112,100.3354,Page 63 hostel
18,Ponta Do Sol,PT,71.13,overcast clouds,32.6667,-17.1,Estalagem Ponta do Sol
23,Daoukro,CI,80.76,moderate rain,7.0591,-3.9631,Hôtel BEKANTI
35,Linxia,CN,70.38,few clouds,35.6003,103.2064,如家酒店
41,Puerto Ayora,EC,73.54,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
58,Sampit,ID,79.36,broken clouds,-2.5333,112.95,Hotel Sultan
62,Faanui,PF,82.42,broken clouds,-16.4833,-151.75,Oa Oa Lodge
63,Barreirinhas,BR,76.23,overcast clouds,-2.7469,-42.8264,Pousada Matriz
66,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
69,Saint-Philippe,RE,82.11,scattered clouds,-21.3585,55.7679,Le Baril
73,Lahaina,US,75.81,clear sky,20.8783,-156.6825,Best Western Pioneer Inn
77,Atambua,ID,74.07,few clouds,-9.1061,124.8925,Hotel Matahari
79,Itarema,BR,76.48,few clouds,-2.9248,-39.9167,Pousada Oásis
82,Touros,BR,79.72,broken clouds,-5.1989,-35.4608,Pousada Atlântico
84,Alta Gracia,AR,75.31,broken clouds,-31.6529,-64.4283,The Ritz-Carlton
86,Casablanca,MA,71.82,broken clouds,33.5928,-7.6192,Hotel de Prince de Paris
94,Jensen Beach,US,78.1,overcast clouds,27.2545,-80.2298,Caribbean Shores Waterfront Resort
101,Hirara,JP,73.26,mist,24.8,125.2833,古謝そば屋
102,Hurghada,EG,75.24,clear sky,27.2574,33.8129,Sea Horse Hotel
107,Souillac,MU,82.78,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
114,Beitbridge,ZW,85.5,clear sky,-22.2167,30.0,Beitbridge Inn & Casino
116,Sao Filipe,CV,76.96,scattered clouds,14.8961,-24.4956,Bela Vista
130,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Fidji Motel
132,Matara,LK,86.25,overcast clouds,5.9485,80.5353,Villa Palm Breeze
141,Frolovo,RU,70.39,light rain,49.7713,43.6622,"Ведомственная гостиница ""Волгоградтрансгаз"""
147,Salinopolis,BR,79.63,scattered clouds,-0.6136,-47.3561,Hotel Salinópolis
148,Hithadhoo,MV,83.53,light rain,-0.6,73.0833,Pebbles Inn
151,Kashi,CN,79.81,few clouds,39.4547,75.9797,深航国际酒店
152,Muisne,EC,76.14,overcast clouds,0.6,-80.0333,Hostal Té de Menta
153,Karratha,AU,80.82,overcast clouds,-20.7377,116.8463,Karratha International Hotel
154,Necocli,CO,76.19,light rain,8.4234,-76.786,Casa Hotel Necoclí
155,Bengkulu,ID,83.25,scattered clouds,-3.8004,102.2655,Dena Hotel
166,Komsomolskiy,UZ,86.72,overcast clouds,40.4272,71.7189,"Hotel ""Ikat House"""
170,Oyem,GA,83.57,overcast clouds,1.5995,11.5793,Mvett Palace
171,Pahrump,US,71.94,few clouds,36.2083,-115.9839,Holiday Inn Express & Suites
173,Bubaque,GW,76.68,clear sky,11.2833,-15.8333,Chez Julio
176,Puerto Carreno,CO,75.58,overcast clouds,6.189,-67.4859,Carreño Plaza
184,Sayaxche,GT,71.74,light rain,16.5167,-90.1667,Hotel aqua azul
190,Loandjili,CG,84.31,few clouds,-4.7561,11.8578,Le Raphia Guest House
191,Vanimo,PG,80.22,overcast clouds,-2.6741,141.3028,CBC Guesthouse
192,Banjar,ID,80.02,broken clouds,-8.19,114.9675,Villa Banjar Beach
195,Kalmunai,LK,86.13,broken clouds,7.4167,81.8167,Saji new food
197,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
200,Sinnamary,GF,78.8,broken clouds,5.3833,-52.95,Hôtel du fleuve
205,Dong Hoi,VN,75.18,overcast clouds,17.4833,106.6,Nhà hàng Amor Palace
207,Safaga,EG,74.86,clear sky,26.7292,33.9365,Dolphin Hotel
208,Sakakah,SA,72.97,clear sky,29.9697,40.2064,فندق النزل
209,Ampanihy,MG,86.83,few clouds,-24.7,44.75,Hotel restaurant Angora
220,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
225,Cap Malheureux,MU,78.91,clear sky,-19.9842,57.6142,Cape Garden
231,Atuona,PF,81.23,broken clouds,-9.8,-139.0333,Pearl Resort
236,Marsaxlokk,MT,70.41,clear sky,35.8419,14.5431,Harbour Lodge
237,Aswan,EG,79.9,clear sky,24.0934,32.907,Yaseen hotel
