City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Lincoln,AU,-34.7333,135.8667,61.11,80,72,4.68,broken clouds
1,Hilo,US,19.7297,-155.09,70.29,90,40,5.75,scattered clouds
2,Saskylakh,RU,71.9167,114.0833,33.22,100,100,4.56,light snow
3,Kostino,RU,58.9097,53.2691,48.22,72,100,9.24,overcast clouds
4,Broome,US,42.2506,-75.833,50.85,95,100,11.5,light rain
5,Nieuw Amsterdam,SR,5.8833,-55.0833,76.01,93,40,0.0,scattered clouds
6,Waipawa,NZ,-41.4122,175.5153,58.98,87,100,8.41,overcast clouds
7,Albany,US,42.6001,-73.9662,48.94,91,100,1.01,moderate rain
8,Khatanga,RU,71.9667,102.5,20.93,89,96,9.51,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,33.46,69,75,5.75,broken clouds
10,Vaini,TO,-21.2,-175.2,73.56,88,75,17.27,moderate rain
11,Rikitea,PF,-23.1203,-134.9692,77.74,77,89,9.73,overcast clouds
12,Carnarvon,AU,-24.8667,113.6333,74.1,73,100,10.96,overcast clouds
13,Kapaa,US,22.0752,-159.319,75.52,76,100,14.97,light rain
14,Georgetown,MY,5.4112,100.3354,89.55,70,20,11.5,thunderstorm
15,Perth,AU,-31.9333,115.8333,69.98,61,0,16.11,clear sky
16,Udachnyy,RU,66.4167,112.4,33.96,98,100,18.77,light snow
17,Veracruz,MX,19.3333,-96.6667,65.8,80,86,1.54,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,71.13,69,100,3.76,overcast clouds
19,Kaitangata,NZ,-46.2817,169.8464,49.55,87,59,2.35,broken clouds
20,Bend,US,44.0582,-121.3153,55.49,63,0,5.99,clear sky
21,Zhaotong,CN,27.3167,103.7167,59.52,60,100,7.54,overcast clouds
22,Klaksvik,FO,62.2266,-6.589,36.52,59,100,10.38,overcast clouds
23,Daoukro,CI,7.0591,-3.9631,80.76,82,33,1.88,moderate rain
24,Cherskiy,RU,68.75,161.3,6.93,95,40,3.65,scattered clouds
25,Taber,CA,49.8167,-112.1518,44.6,63,6,9.22,clear sky
